,w/o aug neg_root_mean_squared_error score,ROS neg_root_mean_squared_error score,RES neg_root_mean_squared_error score,SMOTER neg_root_mean_squared_error score,CF neg_root_mean_squared_error score,CF2 neg_root_mean_squared_error score,CF3 neg_root_mean_squared_error score
lr,53.853445836765935,54.32989806940359,54.407337428744846,54.407337428744846,54.007225076893086,54.007225076893086,54.007225076893086
ridge,53.842869125425715,54.30559445509966,54.398790280805194,54.398790280805194,54.001259125177285,54.001259125177285,54.001259125177285
lasso,53.774195586097925,54.26601417329439,54.30854094915789,54.30854094915789,53.437770527612706,53.437770527612706,53.437770527612706
rf,53.76265249991498,52.98049644068,53.811877575835055,53.811877575835055,53.65289447571248,53.65289447571248,53.65289447571248
xgb,53.92463028871473,63.883239415259936,54.19804287018948,54.19804287018948,51.44267320042895,51.44267320042895,51.44267320042895
