,w/o aug neg_root_mean_squared_error score,"[""random""] balanced neg_root_mean_squared_error score","[""random""] neg_root_mean_squared_error score","[""smote""] balanced neg_root_mean_squared_error score","[""smote""] neg_root_mean_squared_error score","[""cf_random""] neg_root_mean_squared_error score","[""cf_genetic"", {""proximity_weight"": 0.2, ""diversity_weight"": 5, ""sparsity_weight"": 0.2, ""total_CFs"": 1, ""desired_range"": [187.06190176609644, 265.1238035321929]}] neg_root_mean_squared_error score","[""cf_genetic"", {""proximity_weight"": 0.2, ""diversity_weight"": 5, ""sparsity_weight"": 1, ""total_CFs"": 1, ""desired_range"": [187.06190176609644, 265.1238035321929]}] neg_root_mean_squared_error score","[""cf_genetic"", {""proximity_weight"": 5, ""diversity_weight"": 0.2, ""sparsity_weight"": 0.2, ""total_CFs"": 1, ""desired_range"": [187.06190176609644, 265.1238035321929]}] neg_root_mean_squared_error score","[""cf_genetic"", {""proximity_weight"": 5, ""diversity_weight"": 0.2, ""sparsity_weight"": 1, ""total_CFs"": 1, ""desired_range"": [187.06190176609644, 265.1238035321929]}] neg_root_mean_squared_error score","[""cf_genetic"", {""proximity_weight"": 1, ""diversity_weight"": 1, ""sparsity_weight"": 0.2, ""total_CFs"": 1, ""desired_range"": [187.06190176609644, 265.1238035321929]}] neg_root_mean_squared_error score","[""cf_genetic"", {""proximity_weight"": 1, ""diversity_weight"": 1, ""sparsity_weight"": 1, ""total_CFs"": 1, ""desired_range"": [187.06190176609644, 265.1238035321929]}] neg_root_mean_squared_error score","[""cf_kdtree"", {""sparsity_weight"": 0.2, ""total_CFs"": 1, ""desired_range"": [187.06190176609644, 265.1238035321929]}] neg_root_mean_squared_error score","[""cf_kdtree"", {""sparsity_weight"": 1, ""total_CFs"": 1, ""desired_range"": [187.06190176609644, 265.1238035321929]}] neg_root_mean_squared_error score"
lr,53.853445836765935,54.407337428744846,54.32989806940359,54.042277835641656,54.43150010150983,54.093600254209505,55.13078820164659,55.13974562161479,54.75536141133476,55.12805552187809,54.55717358995489,55.12318978827481,54.394327240463,54.394327240463
ridge,53.842869125425715,54.398790280805194,54.30559445509966,54.034442729561164,54.385119791938855,54.08792251498199,55.13365435070609,55.139820550501405,54.76981529057832,55.1198496523522,54.60334321428302,55.11447831371997,54.3888143375297,54.3888143375297
lasso,53.774195586097925,54.30854094915789,54.26601417329439,53.94849999808627,54.33069797863391,53.496747962855565,54.88336635274659,54.859844180807684,54.59458358150915,54.77317164084111,54.5983726654001,54.76370108016671,54.289136377044436,54.289136377044436
elnet,53.539343060013046,54.06117105759267,54.11489912190234,53.742921432876074,54.023167704142104,54.08005492581905,55.03163371644391,55.01292483932335,54.78916093697879,54.95602612599827,54.73429420390283,54.95450561134983,54.072912728490984,54.072912728490984
rf,53.76265249991498,53.811877575835055,52.98049644068,53.179821540068005,53.30281144087944,53.33252628264938,56.120326692419624,55.36210817578005,55.83023144091242,55.868758363809,55.849543173885806,56.169173407606785,54.36793610482572,54.36793610482572
xgb,53.92463028871473,54.19804287018948,63.883239415259936,57.079988746814806,55.171330098176185,52.07973526485665,59.40188795931301,62.09015043775307,57.4342566014731,62.411788557226195,61.33726550312779,61.80249105437877,62.73590696467595,62.73590696467595
