,w/o aug neg_root_mean_squared_error score,ROS neg_root_mean_squared_error score,RES neg_root_mean_squared_error score,SMOTER neg_root_mean_squared_error score,CF neg_root_mean_squared_error score,CF2 neg_root_mean_squared_error score,CF3 neg_root_mean_squared_error score
lr,53.853445836765935,54.32989806940359,54.407337428744846,54.407337428744846,53.84885145802634,53.47519765266362,53.728260327348465
ridge,53.8083761680395,54.30559445509966,54.335309186663686,54.335309186663686,53.84107662097971,53.47067071666093,53.72128678288478
lasso,53.45557976151689,53.97533446218101,53.94709955534163,53.94709955534163,53.44655800215562,53.1044724162127,53.098632402961215
elnet,53.37975290376455,53.637519732995735,53.764593436434865,53.764593436434865,53.94816659281082,53.73480229985977,53.88290752423942
rf,53.76265249991498,52.98049644068,53.811877575835055,53.811877575835055,53.28962503920812,53.16592649516185,53.4834344957319
xgb,53.92463028871473,63.883239415259936,54.19804287018948,54.19804287018948,52.731807900299074,52.198114050033034,51.974723753079594
