,full data roc_auc score,sampled data roc_auc score,ROS roc_auc score,SMOTE roc_auc score,ADASYN roc_auc score,CF roc_auc score
lg,0.8828177525050018,0.862242487475024,0.8612311387147259,0.8571980471864327,0.8602591611957046,0.8519838184198352
rf,0.8797139306505067,0.8522126637597568,0.854813626386606,0.8491700050198333,0.847569317991673,0.8473158656259536
xgb,0.8894615764703977,0.8500164867072847,0.8533556601080741,0.8548579190330423,0.8555998208608521,0.8557720700414382
