,w/o aug neg_root_mean_squared_error score,ROS neg_root_mean_squared_error score,RES neg_root_mean_squared_error score,SMOTER neg_root_mean_squared_error score,CF neg_root_mean_squared_error score,CF2 neg_root_mean_squared_error score,CF3 neg_root_mean_squared_error score
lr,53.853445836765935,54.32989806940359,54.407337428744846,54.407337428744846,53.828116352775396,54.00570192165082,53.582315862865705
ridge,53.8083761680395,54.30559445509966,54.335309186663686,54.335309186663686,53.82137609042088,54.00040967512931,53.57792876022608
lasso,53.45557976151689,53.97533446218101,53.94709955534163,53.94709955534163,53.374650060064496,53.60431912240615,53.13147769023129
elnet,53.37975290376455,53.637519732995735,53.764593436434865,53.764593436434865,53.83872298374015,54.04875422914874,53.703877320326676
rf,53.76265249991498,52.98049644068,53.811877575835055,53.811877575835055,52.7427214428076,53.13845181515295,53.28973515728208
xgb,53.92463028871473,63.883239415259936,54.19804287018948,54.19804287018948,51.84058896411995,51.45938019694681,52.42783442807521
