,w/o aug neg_root_mean_squared_error score,ROS neg_root_mean_squared_error score,RES neg_root_mean_squared_error score,SMOTER neg_root_mean_squared_error score,CF neg_root_mean_squared_error score,CF2 neg_root_mean_squared_error score,CF3 neg_root_mean_squared_error score
lr,53.853445836765935,54.32989806940359,54.407337428744846,54.407337428744846,53.72798768686932,53.62270712609634,53.64231538021626
ridge,53.8083761680395,54.30559445509966,54.335309186663686,54.335309186663686,53.722107522661084,53.618158751861706,53.63566270049018
lasso,53.45557976151689,53.97533446218101,53.94709955534163,53.94709955534163,53.312034216994505,53.23676967535172,53.1906287723401
elnet,53.37975290376455,53.637519732995735,53.764593436434865,53.764593436434865,53.92021670548864,53.87923608146813,53.792727289177805
rf,52.10298160355896,53.19133140369523,53.09831210710221,53.09831210710221,53.06460155759287,53.011574292273494,52.79728884822421
xgb,53.92463028871473,62.510285828913766,54.19804287018948,54.19804287018948,51.631915545851655,52.24415000700413,52.53277012728085
