,full data f1 score,sampled data f1 score,ROS f1 score,SMOTE f1 score,ADASYN f1 score,CF f1 score
lg,0.6187845303867403,0.5957446808510638,0.6530183727034121,0.6497571505666486,0.643702906350915,0.6411657559198543
rf,0.5732005875632447,0.5266723116003387,0.6295754026354319,0.6101511879049676,0.6105717367853291,0.6270996640537514
xgb,0.6329857541489206,0.5947521865889213,0.6458694396302715,0.6133518776077886,0.6133333333333333,0.6358974358974359
