,full data f1 score,"[""random""] balanced f1 score","[""random""] f1 score","[""smote""] balanced f1 score","[""smote""] f1 score","[""cf_random"", {""posthoc_sparsity_param"": 0.1, ""total_CFs"": 1, ""random_seed"": 42, ""desired_class"": 0}] balanced f1 score","[""cf_random"", {""posthoc_sparsity_param"": 0.1, ""total_CFs"": 1, ""random_seed"": 42, ""desired_class"": 0}] f1 score","[""cf_random"", {""posthoc_sparsity_param"": 1, ""total_CFs"": 1, ""random_seed"": 42, ""desired_class"": 0}] balanced f1 score","[""cf_random"", {""posthoc_sparsity_param"": 1, ""total_CFs"": 1, ""random_seed"": 42, ""desired_class"": 0}] f1 score","[""cf_genetic"", {""proximity_weight"": 0.2, ""diversity_weight"": 5, ""sparsity_weight"": 0.2, ""total_CFs"": 1, ""desired_class"": 0}] balanced f1 score","[""cf_genetic"", {""proximity_weight"": 0.2, ""diversity_weight"": 5, ""sparsity_weight"": 0.2, ""total_CFs"": 1, ""desired_class"": 0}] f1 score","[""cf_genetic"", {""proximity_weight"": 0.2, ""diversity_weight"": 5, ""sparsity_weight"": 1, ""total_CFs"": 1, ""desired_class"": 0}] balanced f1 score","[""cf_genetic"", {""proximity_weight"": 0.2, ""diversity_weight"": 5, ""sparsity_weight"": 1, ""total_CFs"": 1, ""desired_class"": 0}] f1 score","[""cf_genetic"", {""proximity_weight"": 5, ""diversity_weight"": 0.2, ""sparsity_weight"": 0.2, ""total_CFs"": 1, ""desired_class"": 0}] balanced f1 score","[""cf_genetic"", {""proximity_weight"": 5, ""diversity_weight"": 0.2, ""sparsity_weight"": 0.2, ""total_CFs"": 1, ""desired_class"": 0}] f1 score","[""cf_genetic"", {""proximity_weight"": 5, ""diversity_weight"": 0.2, ""sparsity_weight"": 1, ""total_CFs"": 1, ""desired_class"": 0}] balanced f1 score","[""cf_genetic"", {""proximity_weight"": 5, ""diversity_weight"": 0.2, ""sparsity_weight"": 1, ""total_CFs"": 1, ""desired_class"": 0}] f1 score","[""cf_genetic"", {""proximity_weight"": 1, ""diversity_weight"": 1, ""sparsity_weight"": 0.2, ""total_CFs"": 1, ""desired_class"": 0}] balanced f1 score","[""cf_genetic"", {""proximity_weight"": 1, ""diversity_weight"": 1, ""sparsity_weight"": 0.2, ""total_CFs"": 1, ""desired_class"": 0}] f1 score","[""cf_genetic"", {""proximity_weight"": 1, ""diversity_weight"": 1, ""sparsity_weight"": 1, ""total_CFs"": 1, ""desired_class"": 0}] balanced f1 score","[""cf_genetic"", {""proximity_weight"": 1, ""diversity_weight"": 1, ""sparsity_weight"": 1, ""total_CFs"": 1, ""desired_class"": 0}] f1 score","[""cf_kdtree"", {""sparsity_weight"": 0.2, ""total_CFs"": 1, ""desired_class"": 0}] balanced f1 score","[""cf_kdtree"", {""sparsity_weight"": 0.2, ""total_CFs"": 1, ""desired_class"": 0}] f1 score","[""cf_kdtree"", {""sparsity_weight"": 1, ""total_CFs"": 1, ""desired_class"": 0}] balanced f1 score","[""cf_kdtree"", {""sparsity_weight"": 1, ""total_CFs"": 1, ""desired_class"": 0}] f1 score"
lg,0.8235294117647058,0.7592592592592593,0.828125,0.7852193995381063,0.82,0.7991169977924945,0.8104575163398693,0.7991169977924945,0.8104575163398693,0.7876106194690266,0.7947598253275109,0.788546255506608,0.7947598253275109,0.7902869757174393,0.7930283224400871,0.7902869757174393,0.7921225382932167,0.7804878048780488,0.7868131868131868,0.7902869757174393,0.7930283224400871,0.7902869757174393,0.7964989059080962,0.7902869757174393,0.7964989059080962
rf,0.8226691042047533,0.7754137115839244,0.8220183486238533,0.7919463087248322,0.8186915887850468,0.7731481481481481,0.7772727272727272,0.7731481481481481,0.7772727272727272,0.7752293577981652,0.7900677200902935,0.776255707762557,0.7863636363636364,0.7936507936507936,0.8,0.782608695652174,0.7818181818181819,0.7818181818181819,0.7919463087248322,0.7900677200902935,0.7792792792792793,0.7963800904977375,0.8008849557522124,0.7963800904977375,0.8008849557522124
xgb,0.8151093439363817,0.788546255506608,0.816,0.8123620309050773,0.8164948453608247,0.808695652173913,0.8103448275862069,0.808695652173913,0.8103448275862069,0.7991360691144709,0.8008658008658008,0.8008658008658008,0.7974137931034483,0.8,0.8068669527896996,0.8,0.8043478260869565,0.8025751072961373,0.8043010752688172,0.806941431670282,0.8008565310492506,0.8,0.8008565310492506,0.8,0.8008565310492506
