,full data roc_auc score,sampled data roc_auc score,ROS roc_auc score,SMOTE roc_auc score,ADASYN roc_auc score,CF roc_auc score
lg,0.8828177525050018,0.8766906960484123,0.8763893242037756,0.8738686500952335,0.8733340164428478,0.8698833088217566
rf,0.8797139306505067,0.8710185765605035,0.8752956457795885,0.8669491525423729,0.865957639173518,0.869620813945078
xgb,0.8894615764703977,0.8700541866576657,0.8661176676230199,0.8714673192371676,0.8724739011982544,0.8701090363333897
