,full data f1 score,sampled data f1 score,ROS f1 score,SMOTE f1 score,ADASYN f1 score,CF f1 score
lg,0.6187845303867403,0.5431309904153354,0.6334841628959276,0.619815668202765,0.6262857142857143,0.5966277561608301
rf,0.5732005875632447,0.4444444444444444,0.5951417004048583,0.5862068965517241,0.5916167664670658,0.6014877789585548
xgb,0.6329857541489206,0.5457413249211357,0.5975,0.5577211394302849,0.5465465465465466,0.5809128630705395
