,full data accuracy score,sampled data accuracy score,ROS accuracy score,SMOTE accuracy score,ADASYN accuracy score,CF accuracy score
lg,0.8289508988462571,0.8088531187122736,0.7826961770623743,0.778672032193159,0.7806841046277666,0.7920858484238766
rf,0.8245908237188087,0.8054996646545942,0.7317236753856472,0.7994634473507712,0.7961099932930918,0.7652582159624414
xgb,0.8323718808693319,0.806841046277666,0.784037558685446,0.8021462105969148,0.7974513749161637,0.8001341381623072
