,full data accuracy score,inflate data accuracy score,"[""random""] balanced accuracy score","[""random""] accuracy score","[""smote""] balanced accuracy score","[""smote""] accuracy score","[""cf_random""] balanced accuracy score","[""cf_random""] accuracy score","[""cf_genetic"", {""proximity_weight"": 5, ""diversity_weight"": 0.2, ""sparsity_weight"": 0.2, ""total_CFs"": 1, ""desired_class"": 0}] balanced accuracy score","[""cf_genetic"", {""proximity_weight"": 5, ""diversity_weight"": 0.2, ""sparsity_weight"": 0.2, ""total_CFs"": 1, ""desired_class"": 5}] accuracy score"
lg,0.6244541484716157,0.6,0.4410480349344978,0.6462882096069869,0.48034934497816595,0.48034934497816595,0.568,0.5545851528384279,0.476,0.6331877729257642
rf,0.6244541484716157,0.592,0.5021834061135371,0.62882096069869,0.4847161572052402,0.4847161572052402,0.584,0.5720524017467249,0.568,0.6855895196506551
xgb,0.5982532751091703,0.604,0.5720524017467249,0.6506550218340611,0.5938864628820961,0.5938864628820961,0.608,0.7379912663755459,0.68,0.8296943231441049
