,full data f1 score,sampled data f1 score,ROS f1 score,SMOTE f1 score,ADASYN f1 score,CF f1 score
lg,0.6187845303867403,0.5813148788927336,0.6323907455012854,0.6181818181818182,0.6310432569974554,0.6193181818181818
rf,0.5732005875632447,0.35514018691588783,0.575,0.5693430656934306,0.5648148148148148,0.589041095890411
xgb,0.6329857541489206,0.5714285714285714,0.618925831202046,0.5950920245398773,0.5900621118012422,0.6022727272727273
