,full data accuracy score,sampled data accuracy score,ROS accuracy score,SMOTE accuracy score,ADASYN accuracy score,CF accuracy score
lg,0.8289508988462571,0.8152246814218645,0.8033658104517272,0.8155447298494243,0.8143047534429143,0.8551815766164748
rf,0.8245908237188087,0.812541918175721,0.7810008857395926,0.8635961027457927,0.8669480231008441,0.7993799822852081
xgb,0.8323718808693319,0.8135479543930249,0.8337023914969,0.8797608503100088,0.8767214571301644,0.8516386182462357
