,full data f1 score,CF balanced f1 score,CF 0.5 f1 score,CF balanced2 f1 score,CF 0.5 2 f1 score
lg,0.8235294117647058,0.7928730512249443,0.8,0.8,0.7874720357941835
rf,0.8226691042047533,0.7610208816705336,0.7634660421545667,0.7540983606557377,0.7488151658767772
xgb,0.8151093439363817,0.7982456140350878,0.8104575163398693,0.8017429193899782,0.8078602620087336
