,full data roc_auc score,sampled data roc_auc score,ROS roc_auc score,SMOTE roc_auc score,ADASYN roc_auc score,CF roc_auc score
lg,0.8828177525050018,0.8757732227611745,0.878714859437751,0.8663537265946903,0.8667918426954572,0.8678871329473739
rf,0.8797139306505067,0.8513117404683671,0.8551869816930058,0.8526573827778647,0.8527512647994576,0.8549627079747563
xgb,0.8894615764703977,0.839425233401137,0.8652688676785063,0.8654462003859593,0.8658999634903249,0.8619204089083607
