,whole,whole,whole,whole,whole,random balanced,random balanced,random balanced,random balanced,random balanced,random,random,random,random,random,smote balanced,smote balanced,smote balanced,smote balanced,smote balanced,smote,smote,smote,smote,smote,cf_random balanced,cf_random balanced,cf_random balanced,cf_random balanced,cf_random balanced,cf_random,cf_random,cf_random,cf_random,cf_random,cf_genetic balanced,cf_genetic balanced,cf_genetic balanced,cf_genetic balanced,cf_genetic balanced,cf_genetic,cf_genetic,cf_genetic,cf_genetic,cf_genetic
,f1,accuracy,precision,recall,roc_auc,f1,accuracy,precision,recall,roc_auc,f1,accuracy,precision,recall,roc_auc,f1,accuracy,precision,recall,roc_auc,f1,accuracy,precision,recall,roc_auc,f1,accuracy,precision,recall,roc_auc,f1,accuracy,precision,recall,roc_auc,f1,accuracy,precision,recall,roc_auc,f1,accuracy,precision,recall,roc_auc
lg,0.832258064516129,0.74,0.7839506172839507,0.9290780141843972,0.7523740834234884,0.7480314960629921,0.68,0.8407079646017699,0.6879432624113475,0.7591056617381895,0.8441558441558441,0.755,0.7839506172839507,0.9219858156028369,0.758264214448852,0.7674418604651163,0.7,0.8461538461538461,0.7021276595744681,0.7857915614857555,0.7674418604651163,0.7,0.8461538461538461,0.7021276595744681,0.7857915614857555,0.7985611510791367,0.72,0.8102189781021898,0.7872340425531915,0.7455222983531675,0.7870036101083032,0.7,0.8,0.7730496453900709,0.7437191970188725,0.7452471482889734,0.67,0.8151260504201681,0.6950354609929078,0.7422767159514365,0.7401574803149606,0.67,0.8440366972477065,0.6666666666666666,0.7490082942661378
rf,0.8398791540785498,0.735,0.7315789473684211,1.0,0.7892775573987257,0.7489711934156379,0.695,0.8942307692307693,0.6524822695035462,0.8076691910085346,0.848297213622291,0.755,0.7527472527472527,0.9858156028368794,0.7850703209520375,0.7747035573122529,0.715,0.8727272727272727,0.6950354609929078,0.8241375165284287,0.7747035573122529,0.715,0.8727272727272727,0.6950354609929078,0.8241375165284287,0.8357142857142857,0.77,0.841726618705036,0.8226950354609929,0.770885923788917,0.8045112781954887,0.74,0.856,0.7375886524822695,0.7743719197018872,0.7661290322580645,0.71,0.8878504672897196,0.6737588652482269,0.7809832912609688,0.7603305785123967,0.71,0.9108910891089109,0.6524822695035462,0.7905998317105422
xgb,0.8333333333333334,0.75,0.7861635220125787,0.9219858156028369,0.8012381295828825,0.8029739776951673,0.735,0.84375,0.7588652482269503,0.798894097848299,0.8361204013377926,0.755,0.7911392405063291,0.900709219858156,0.7881956965981488,0.8029197080291971,0.73,0.8270676691729323,0.7801418439716312,0.7884361101093882,0.8029197080291971,0.73,0.8270676691729323,0.7801418439716312,0.7884361101093882,0.8368794326241135,0.76,0.8297872340425532,0.8368794326241135,0.813318908522659,0.8029197080291971,0.73,0.8270676691729323,0.7801418439716312,0.7954081019353287,0.8058608058608059,0.735,0.8333333333333334,0.7801418439716312,0.7838682533958408,0.8148148148148148,0.745,0.8571428571428571,0.7801418439716312,0.7818247385503065
