,full data f1 score,ROS f1 score,SMOTE f1 score,ADASYN f1 score,CF f1 score
lg,0.8235294117647058,0.7592592592592593,0.7638888888888888,0.7681498829039812,0.8026315789473685
rf,0.8226691042047533,0.7754137115839244,0.7869565217391304,0.7857142857142857,0.7685185185185185
xgb,0.8151093439363817,0.788546255506608,0.8163265306122449,0.813141683778234,0.8095238095238095
