,w/o aug neg_root_mean_squared_error score,"[""random""] balanced neg_root_mean_squared_error score","[""random""] neg_root_mean_squared_error score","[""smote""] balanced neg_root_mean_squared_error score","[""smote""] neg_root_mean_squared_error score","[""cf_random""] neg_root_mean_squared_error score","[""cf_genetic"", {""proximity_weight"": 0.2, ""diversity_weight"": 5, ""sparsity_weight"": 0.2, ""total_CFs"": 1, ""desired_range"": [151.9831081081081, 229.67700803968637]}] neg_root_mean_squared_error score","[""cf_genetic"", {""proximity_weight"": 0.2, ""diversity_weight"": 5, ""sparsity_weight"": 1, ""total_CFs"": 1, ""desired_range"": [151.9831081081081, 229.67700803968637]}] neg_root_mean_squared_error score","[""cf_genetic"", {""proximity_weight"": 5, ""diversity_weight"": 0.2, ""sparsity_weight"": 0.2, ""total_CFs"": 1, ""desired_range"": [151.9831081081081, 229.67700803968637]}] neg_root_mean_squared_error score","[""cf_genetic"", {""proximity_weight"": 5, ""diversity_weight"": 0.2, ""sparsity_weight"": 1, ""total_CFs"": 1, ""desired_range"": [151.9831081081081, 229.67700803968637]}] neg_root_mean_squared_error score","[""cf_genetic"", {""proximity_weight"": 1, ""diversity_weight"": 1, ""sparsity_weight"": 0.2, ""total_CFs"": 1, ""desired_range"": [151.9831081081081, 229.67700803968637]}] neg_root_mean_squared_error score","[""cf_genetic"", {""proximity_weight"": 1, ""diversity_weight"": 1, ""sparsity_weight"": 1, ""total_CFs"": 1, ""desired_range"": [151.9831081081081, 229.67700803968637]}] neg_root_mean_squared_error score","[""cf_kdtree"", {""sparsity_weight"": 0.2, ""total_CFs"": 1, ""desired_range"": [151.9831081081081, 229.67700803968637]}] neg_root_mean_squared_error score","[""cf_kdtree"", {""sparsity_weight"": 1, ""total_CFs"": 1, ""desired_range"": [151.9831081081081, 229.67700803968637]}] neg_root_mean_squared_error score"
lr,53.08303210274998,52.165320938282875,53.401462730451755,52.26594961254997,53.158153123505414,53.2960883288939,53.93954563201091,53.98488735005576,54.140256578526866,54.0852444709476,54.063832914428396,54.16656062693915,54.05270024736109,54.05270024736109
ridge,53.1493141656221,52.19527259272907,53.40408224350331,52.27046595390172,53.159563030994995,53.285368633960445,53.97155595389954,53.97225787584145,54.1494338333588,54.091950486389386,54.07295994645131,54.17880681358151,54.107360196705905,54.107360196705905
lasso,53.02298415221674,52.18669051468235,53.374628964541664,52.32477733252262,53.15777345500901,53.23524148797798,54.10748115668342,53.875812502306985,54.40981401889653,54.3477388395637,54.30441804625817,54.23370242595149,54.02966084225579,54.02966084225579
elnet,53.124866969309245,52.308518732991935,53.38805801045345,52.47314894138364,53.15221872838264,53.41412583426067,53.96785333926016,53.85851578553251,54.110884640738384,54.048317115404586,54.01226052297295,54.121899074692365,54.08197495340498,54.08197495340498
rf,54.19662176326458,54.13554607828671,54.570607868189214,55.27966775426226,55.31731528191506,54.97454664522751,56.188262250468135,57.08988696738188,56.05960784900547,56.300660350066735,56.26192974946908,56.561679054166554,55.091691231800645,55.091691231800645
xgb,55.42550684941792,56.43185724854981,60.10286626963866,54.97040165663245,54.949630164563054,54.21107131864938,58.84029468711371,59.82058524106999,57.548993491376834,58.71527888771955,62.875293943284895,57.88523608864989,62.14856931495714,62.14856931495714
